                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    125,                 3.1265,                 2.2274,                 1.8592,                0.71899,                0.35352,                0.36586,                0.18334,                 3.3531,                 3.3415,                 1.9783,              0.0010782,              0.0010782,              0.0010782
                    126,                 3.1839,                 2.2417,                 1.8852,                0.71899,                0.35352,                0.36586,                0.18334,                 3.3531,                 3.3415,                 1.9783,              0.0010753,              0.0010753,              0.0010753
                    127,                 3.1762,                 2.2425,                 1.8725,                0.71899,                0.35352,                0.36586,                0.18334,                 3.3531,                 3.3415,                 1.9783,              0.0010725,              0.0010725,              0.0010725
                    128,                 3.0363,                 2.1596,                 1.8631,                0.78001,                0.32968,                0.39265,                0.19461,                 3.3384,                 3.1066,                 1.9685,              0.0010697,              0.0010697,              0.0010697
                    129,                 3.4136,                 2.3135,                 1.9078,                0.78001,                0.32968,                0.39265,                0.19461,                 3.3384,                 3.1066,                 1.9685,              0.0010668,              0.0010668,              0.0010668
                    130,                 2.8925,                 2.0928,                 1.8703,                0.78001,                0.32968,                0.39265,                0.19461,                 3.3384,                 3.1066,                 1.9685,               0.001064,               0.001064,               0.001064
                    131,                 3.2621,                 2.5246,                 1.8728,                0.78001,                0.32968,                0.39265,                0.19461,                 3.3384,                 3.1066,                 1.9685,              0.0010612,              0.0010612,              0.0010612
                    132,                 3.1275,                 2.1441,                 1.8633,                0.77364,                0.36576,                 0.4058,                 0.2052,                  3.305,                 2.8999,                 1.9623,              0.0010583,              0.0010583,              0.0010583
                    133,                 2.8488,                 2.2731,                 1.8571,                0.77364,                0.36576,                 0.4058,                 0.2052,                  3.305,                 2.8999,                 1.9623,              0.0010555,              0.0010555,              0.0010555
                    134,                 3.0797,                  2.099,                 1.8726,                0.77364,                0.36576,                 0.4058,                 0.2052,                  3.305,                 2.8999,                 1.9623,              0.0010527,              0.0010527,              0.0010527
                    135,                 3.5706,                 2.3272,                   1.88,                0.77364,                0.36576,                 0.4058,                 0.2052,                  3.305,                 2.8999,                 1.9623,              0.0010499,              0.0010499,              0.0010499
                    136,                 2.8121,                 1.9952,                 1.8305,                0.76474,                0.37487,                0.41633,                0.21635,                 3.2442,                 2.7187,                 1.9476,               0.001047,               0.001047,               0.001047
                    137,                 2.8922,                 2.2312,                 1.8756,                0.76474,                0.37487,                0.41633,                0.21635,                 3.2442,                 2.7187,                 1.9476,              0.0010442,              0.0010442,              0.0010442
                    138,                 2.9929,                 2.0583,                 1.8463,                0.76474,                0.37487,                0.41633,                0.21635,                 3.2442,                 2.7187,                 1.9476,              0.0010414,              0.0010414,              0.0010414
                    139,                 2.9542,                 2.1252,                 1.8752,                0.76474,                0.37487,                0.41633,                0.21635,                 3.2442,                 2.7187,                 1.9476,              0.0010385,              0.0010385,              0.0010385
                    140,                 2.9341,                 2.0872,                 1.8362,                0.76617,                0.38417,                0.42356,                0.23121,                 3.2175,                 2.6739,                 1.9628,              0.0010357,              0.0010357,              0.0010357
                    141,                 2.8005,                 2.0029,                  1.837,                0.76617,                0.38417,                0.42356,                0.23121,                 3.2175,                 2.6739,                 1.9628,              0.0010329,              0.0010329,              0.0010329
                    142,                 2.9585,                 2.2418,                 1.8103,                0.76617,                0.38417,                0.42356,                0.23121,                 3.2175,                 2.6739,                 1.9628,              0.0010301,              0.0010301,              0.0010301
                    143,                 3.0137,                 2.0934,                 1.8497,                0.76617,                0.38417,                0.42356,                0.23121,                 3.2175,                 2.6739,                 1.9628,              0.0010272,              0.0010272,              0.0010272
                    144,                 3.1786,                 2.2074,                 1.8561,                0.77844,                0.40251,                0.43217,                0.22659,                 3.2617,                  2.594,                 1.9584,              0.0010244,              0.0010244,              0.0010244
                    145,                   3.02,                 2.1338,                 1.8688,                0.77844,                0.40251,                0.43217,                0.22659,                 3.2617,                  2.594,                 1.9584,              0.0010216,              0.0010216,              0.0010216
                    146,                 2.8132,                  2.253,                 1.8683,                0.77844,                0.40251,                0.43217,                0.22659,                 3.2617,                  2.594,                 1.9584,              0.0010187,              0.0010187,              0.0010187
                    147,                 2.9495,                 2.0174,                 1.8036,                0.77844,                0.40251,                0.43217,                0.22659,                 3.2617,                  2.594,                 1.9584,              0.0010159,              0.0010159,              0.0010159
                    148,                  2.984,                  2.093,                 1.8335,                 0.7688,                0.40789,                0.43142,                0.21966,                 3.2754,                 2.5492,                 1.9453,              0.0010131,              0.0010131,              0.0010131
